序号,经度,纬度,到最近现有站km,热点同址<1km
568,113.4850465,23.1909421,1.042,False
569,113.3080582,23.4569035,0.919,True
570,113.4655498,23.0514436,0.934,True
571,113.7349574,23.2779347,0.206,True
572,113.4289644,23.4477066,1.716,False
573,113.7772428,23.2061257,2.096,False
574,113.4656926,23.051924,0.985,True
575,113.5595552,22.687797,2.661,False
576,113.4828449,23.1962042,1.007,False
577,113.1847672,23.3099291,1.709,False
578,113.4165106,23.3909172,0.249,True
579,113.1447642,23.4780696,0.182,True
580,113.7905107,23.2153211,2.54,False
581,113.4981624,23.1337536,1.447,False
582,113.4804213,23.4173234,1.657,False
583,113.5077875,23.512481,1.43,False
584,113.5555254,23.2165776,0.667,True
585,113.1848341,23.481835,1.231,False
586,113.4933734,23.1468167,0.977,True
587,113.4958356,23.1390564,1.159,False
588,113.1763602,23.3123171,2.327,False
589,113.465465,23.0585304,1.533,False
590,113.4884926,23.1721551,0.631,True
591,113.4331292,23.2500549,1.808,False
592,113.470792,23.424772,0.929,True
593,113.2588046,23.4903672,2.541,False
594,113.7839332,23.4021667,1.136,False
595,113.7730782,23.2500081,1.255,False
596,113.4887513,23.1565503,0.209,True
597,113.7867805,23.2153305,2.589,False
598,113.5703301,23.2180752,1.811,False
599,113.4872136,22.8617472,0.564,True
600,113.7159634,23.1514078,1.574,False
601,113.4479708,23.0178848,2.303,False
602,113.4085017,23.7209011,3.969,False
603,113.499931,23.1102894,1.21,False
604,113.1040858,23.3087466,1.181,False
605,113.6189985,23.1696223,0.656,True
606,113.5280693,23.1472352,0.687,True
607,113.4505125,23.018802,2.185,False
608,113.5080234,23.407698,2.043,False
609,113.1803207,23.4779685,0.717,True
610,113.4635891,23.603249,2.164,False
611,113.3775766,23.4656129,2.456,False
612,113.5001321,23.1282645,1.229,False
613,113.6309654,23.1727785,0.782,True
614,113.4539446,23.0214613,1.843,False
615,113.4718241,23.2203438,1.615,False
616,113.6257969,23.1704274,0.418,True
617,113.4857328,23.1788759,0.525,True
618,113.1996661,23.3097771,1.933,False
619,113.4523614,23.7009831,5.004,False
620,113.4349828,23.2493046,1.685,False
621,113.3942579,22.8828013,0.118,True
622,113.4833813,22.8301159,1.604,False
623,113.3882711,23.2757282,3.494,False
624,113.5605646,23.2202564,1.272,False
625,113.6761703,23.6555265,2.205,False
626,113.3884281,23.4576414,2.638,False
627,113.4832682,22.8743641,0.704,True
628,113.4952625,23.1451853,0.867,True
629,113.3778692,22.8667677,1.968,False
630,113.3877476,23.2759461,3.436,False
631,113.2227656,23.4908519,1.263,False
632,113.4675906,23.0433443,0.823,True
633,113.813199,23.4130519,2.196,False
634,113.5935181,22.7059776,4.326,False
635,113.7044616,23.1885644,0.798,True
636,113.0398101,23.3139292,1.276,False
637,113.3918197,22.8928346,0.49,True
638,113.4206012,23.4495336,0.896,True
639,113.526749,23.1228822,0.535,True
640,113.914189,23.471533,1.801,False
641,113.5468513,23.1899317,0.455,True
642,113.5287186,22.7799971,0.677,True
643,113.5213657,23.5173837,0.915,True
644,113.4515997,22.7789924,1.918,False
645,113.8045506,23.2154444,2.008,False
646,113.6352311,23.175046,1.249,False
647,113.4833495,23.1990101,1.251,False
648,113.5092714,23.0960627,0.647,True
649,113.4986052,23.4151041,1.187,False
650,113.4896803,23.1485651,0.686,True
651,113.4695342,23.0616825,1.4,False
652,113.1873621,23.3090531,1.558,False
653,113.3876502,23.2767251,3.4,False
654,113.5471951,23.1926721,0.412,True
655,113.4955221,23.1361023,1.434,False
656,113.482393,22.7471656,1.099,False
657,113.3111805,23.4578111,0.98,True
658,113.4565567,23.2261084,2.459,False
659,113.3950008,22.8800342,0.354,True
660,113.497534,23.1176946,1.069,False
661,113.470949,22.8980814,1.718,False
662,113.4146177,23.3738696,1.72,False
663,113.4702383,23.0653234,1.655,False
664,113.782044,23.2148698,2.67,False
665,113.5507024,23.190429,0.116,True
666,113.4808832,23.1513839,0.735,True
667,113.4858988,23.1873421,0.871,True
668,113.3811133,22.8586986,1.939,False
669,113.4549637,23.7032195,5.358,False
670,113.5476762,23.1967505,0.467,True
671,113.227527,23.4938029,1.134,False
672,113.3907986,22.8904682,0.329,True
673,113.3830787,23.4589023,2.331,False
674,113.4729526,22.8893125,1.152,False
675,113.6340139,22.6325881,3.435,False
676,113.3627491,23.2844523,0.718,True
677,113.4663754,23.06019,1.542,False
678,113.5148747,23.1474358,1.048,False
679,113.8639354,23.4244032,2.792,False
680,113.8181909,23.2143599,1.185,False
681,113.1734128,23.3095517,2.286,False
682,113.4716006,23.0643411,1.481,False
683,113.4312117,23.4786335,3.155,False
684,113.3924379,22.8982626,0.907,True
685,113.5348188,23.1742375,2.043,False
686,113.4131655,23.3649913,2.461,False
687,113.4922078,23.1175913,0.644,True
688,113.4942618,23.5833626,0.182,True
689,113.4640054,23.5506229,4.518,False
690,113.5862966,22.7187222,3.631,False
691,113.5486533,23.131756,0.346,True
692,113.5534905,23.189383,0.178,True
693,113.6685258,23.1896865,0.301,True
694,113.4848564,23.0200305,0.615,True
695,113.5768618,23.2197363,2.163,False
696,113.6163361,23.3406761,2.208,False
697,113.8857937,23.8201451,0.476,True
698,113.219729,23.4879603,0.822,True
699,113.5360603,23.1748812,2.11,False
700,113.3154988,23.4580178,1.115,False
